GP_ID, GP_Name, Distance, Team 
1,Bahrein,930,Mclaren
1,Bahrein,1604,Aston Martin
1,Bahrein,2319,Williams
1,Bahrein,1711,Alfa Romeo
1,Bahrein,3452,Haas
1,Bahrein,812,AlphaTauri
1,Bahrein,0,Red Bull
1,Bahrein,1252,Alpine
1,Bahrein,681,Ferrari
1,Bahrein,388,Mercedes
2,Imola,43,Mclaren
2,Imola,727,Aston Martin
2,Imola,850,Williams
2,Imola,1563,Alfa Romeo
2,Imola,1868,Haas
2,Imola,379,AlphaTauri
2,Imola,35,Red Bull
2,Imola,706,Alpine
2,Imola,329,Ferrari
2,Imola,0,Mercedes
3,Portugal,513,Mclaren
3,Portugal,1002,Aston Martin
3,Portugal,1141,Williams
3,Portugal,1248,Alfa Romeo
3,Portugal,2484,Haas
3,Portugal,1084,AlphaTauri
3,Portugal,241,Red Bull
3,Portugal,618,Alpine
3,Portugal,801,Ferrari
3,Portugal,0,Mercedes
4,Espa�a,881,Mclaren
4,Espa�a,1233,Aston Martin
4,Espa�a,1704,Williams
4,Espa�a,1615,Alfa Romeo
4,Espa�a,2376,Haas
4,Espa�a,1241,AlphaTauri
4,Espa�a,36,Red Bull
4,Espa�a,839,Alpine
4,Espa�a,769,Ferrari
4,Espa�a,0,Mercedes
5,Monaco,274,Mclaren
5,Monaco,963,Aston Martin
5,Monaco,1484,Williams
5,Monaco,1063,Alfa Romeo
5,Monaco,2612,Haas
5,Monaco,554,AlphaTauri
5,Monaco,230,Red Bull
5,Monaco,1140,Alpine
5,Monaco,0,Ferrari
5,Monaco,255,Mercedes
6,Azerbaiyan,529,Mclaren
6,Azerbaiyan,1006,Aston Martin
6,Azerbaiyan,1510,Williams
6,Azerbaiyan,1369,Alfa Romeo
6,Azerbaiyan,2940,Haas
6,Azerbaiyan,347,AlphaTauri
6,Azerbaiyan,345,Red Bull
6,Azerbaiyan,977,Alpine
6,Azerbaiyan,0,Ferrari
6,Azerbaiyan,232,Mercedes
7,Francia,1262,Mclaren
7,Francia,1777,Aston Martin
7,Francia,2075,Williams
7,Francia,1823,Alfa Romeo
7,Francia,2952,Haas
7,Francia,878,AlphaTauri
7,Francia,0,Red Bull
7,Francia,1350,Alpine
7,Francia,850,Ferrari
7,Francia,258,Mercedes
8,Austria1,279,Mclaren
8,Austria1,822,Aston Martin
8,Austria1,830,Williams
8,Austria1,1072,Alfa Romeo
8,Austria1,2200,Haas
